サイト,所在地,価格(万円),土地面積(㎡),坪単価(万円/坪),地目,都市計画,再建築可否,再建築理由,検出日,フラグ,詳細URL,判定
SUUMO 土地 駿東郡（清水町・長泉町を内包）,静岡県駿東郡長泉町下長窪,2850,173.5,54.3,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_suntogun/nc_20700854/,不適合
SUUMO 土地 駿東郡（清水町・長泉町を内包）,静岡県駿東郡清水町徳倉,3150,330.0,31.6,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_suntogun/nc_20125614/,不適合
SUUMO 土地 駿東郡（清水町・長泉町を内包）,静岡県駿東郡長泉町桜堤３,3290,180.9,60.1,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_suntogun/nc_20069912/,不適合
SUUMO 土地 駿東郡（清水町・長泉町を内包）,静岡県駿東郡長泉町下土狩1048-2、1048-24,3400,225.0,50.0,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_suntogun/nc_20634919/,不適合
SUUMO 土地 駿東郡（清水町・長泉町を内包）,静岡県駿東郡長泉町中土狩,3480,190.0,60.5,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_suntogun/nc_76909210/,不適合
SUUMO 土地 駿東郡（清水町・長泉町を内包）,静岡県駿東郡長泉町桜堤３,3580,187.2,63.2,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_suntogun/nc_20069865/,不適合
SUUMO 土地 駿東郡（清水町・長泉町を内包）,静岡県駿東郡長泉町桜堤３,3580,187.1,63.3,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_suntogun/nc_20069918/,不適合
SUUMO 土地 駿東郡（清水町・長泉町を内包）,静岡県駿東郡長泉町東野,4180,1678.2,8.2,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_suntogun/nc_75329167/,不適合
SUUMO 土地 三島市,静岡県三島市幸原町１,3220,136.5,78.0,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_mishima/nc_20388080/,不適合
SUUMO 土地 三島市,静岡県三島市大場,250,305.0,2.7,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_mishima/nc_78936290/,不適合
SUUMO 土地 三島市,静岡県三島市徳倉４,430,83.0,17.1,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_mishima/nc_20027711/,不適合
SUUMO 土地 三島市,静岡県三島市谷田1159-204,480,104.1,15.2,田,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_mishima/nc_79014268/,不適合
SUUMO 土地 三島市,静岡県三島市市山新田,650,172.4,12.5,田,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_mishima/nc_74764878/,不適合
SUUMO 土地 三島市,静岡県三島市東本町２,680,148.8,15.1,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_mishima/nc_78741143/,不適合
SUUMO 土地 三島市,静岡県三島市谷田,750,197.1,12.6,田,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_mishima/nc_74423075/,不適合
SUUMO 土地 三島市,静岡県三島市多呂225,800,228.1,11.6,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_mishima/nc_72718327/,不適合
SUUMO 土地 三島市,静岡県三島市谷田,800,206.0,12.8,田,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_mishima/nc_78391473/,不適合
SUUMO 土地 三島市,静岡県三島市富士ビレッジ204-57,895,99.3,29.8,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_mishima/nc_20697228/,不適合
SUUMO 土地 三島市,静岡県三島市大場,998,160.8,20.5,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_mishima/nc_20442223/,不適合
SUUMO 土地 三島市,静岡県三島市徳倉３,1048,155.1,22.3,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_mishima/nc_72320814/,不適合
SUUMO 土地 三島市,静岡県三島市谷田,1080,136.1,26.2,田,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_mishima/nc_76874238/,不適合
SUUMO 土地 三島市,静岡県三島市谷田,1080,136.1,26.2,田,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_mishima/nc_76928411/,不適合
